,Unnamed: 0,SECTEUR,SOUS-SECTEUR,CIBLE,AGE-MIN,AGE-MAX,NOM,ADRESSE,LATITUDE,LONGITUDE,MAIL,TELEPHONE,LIEN,Longitude,Latitude,Adresse
46,46,ULIS,,ENFANT,,,SESSAD INSTITUT CAMPESTRE,"1120, ROUTE DE BEDARIEUX 34700 LODEVE",,,,04 67 44 23 44,,3.286123,43.731518,"1120 Route de Bedarieux, 34700 Lodève"
47,47,ULIS,,ENFANT,,,SESSAD LENSOLEILLADE," 4, QUAI HERCULE COT 34800 CLERMONT LHERAULT""",,,,04 67 88 90 85,,3.434903,43.626174,"4 Quai Hercule Cot, 34800 Clermont-l'Hérault"
48,48,ULIS,,ENFANT,,,SESSAD LOMBRELLE,"11, RUE DU ROMARIN 34990 JUVIGNAC",,,,04 67 52 31 29,,3.812645,43.614581,"11 Rue du Romarin, 34990 Juvignac"
49,49,ULIS,,ENFANT,,,SESSAD LA CARDABELLE,"21, AVENUE DE CASTELNAU 34090 MONTPELLIER",,,,04 67 54 04 38,,3.882597,43.621463,"21 Avenue de Castelnau, 34090 Montpellier"
50,50,ULIS,,ENFANT,,,SESSAD LA CORNICHE,"16 BIS, BOULEVARD JOLIOT CURIE 34200 SETE",,,,04 67 18 29 04,,3.670316,43.395983,"16 bis Boulevard Joliot Curie, 34200 Sète"
51,51,ULIS,,ENFANT,,,SESSAD LA DOMITIENNE,"1804, AVENUE DU PERE SOULAS 34090 MONTPELLIER",,,,04 67 54 43 54,,3.84971,43.625814,"1804 Avenue du Père Soulas, 34090 Montpellier"
52,52,ULIS,,ENFANT,,,SESSAD LA PINEDE,AVENUE CYPRIEN OLIVIER 34830 JACOU,,,,04 67 59 11 78,,3.908847,43.663701,"Avenue Cyprien Olivier, 34830 Jacou"
53,53,ULIS,,ENFANT,,,SESSAD LE LANGUEDOC,"38, RUE DU MAZET - MAS PRUNET 34070 MONTPELLIER",,,,04 67 42 45 44,,3.833975,43.599346,"Rue du Mas de Prunet, 34070 Montpellier"
54,54,ULIS,,ENFANT,,,SESSAD LES HIRONDELLES,RUE DES LIERLES - CS 97001 34115 FRONTIGNAN,,,,04 67 46 62 38,,3.727621,43.427074,"Rue des Lierles, 34110 Frontignan"
55,55,ULIS,,ENFANT,,,SESSAD LES PESCALUNES,"31, RUE DU 8 MAI 1945 34400 LUNEL",,,,04 67 07 86 01,,4.128208,43.675626,"31 Rue du 8 Mai 1945, 34400 Lunel"
56,56,ULIS,,ENFANT,,,SESSAD MARCEL FOUCAULT,"RESIDENCE LE DIAMANT - BATIMENT B 419, RUE LEON BLUM 34000 MONTPELLIER",,,,04 67 54 25 35,,3.890873,43.609875,"Rue Léon Blum, 34000 Montpellier"
57,57,ULIS,,ENFANT,,,SESSAD NAZARETH,"13, RUE DE NAZARETH 34093 MONTPELLIER CEDEX 5",,,,04 99 58 21 21,,3.881696,43.622161,"13 Rue de Nazareth, 34090 Montpellier"
58,58,ULIS,,ENFANT,,,SESSAD NOTRE DAME DE LA SALETTE,"2, RUE PUECH DU FOUR BP 34 34600 BEDARIEUX",,,,04 67 95 10 59,,3.160379,43.613446,"2 Rue Puech du Four, 34600 Bédarieux"
59,59,ULIS,,ENFANT,,,SESSAD PARENTS THESE," ZAC CLEMENT DALGER 20, RUE DES FRERES LUMIERE 34830 JACOU""",,,,04 67 45 63 02,,3.903751,43.658055,"20 Rue des Frères Lumière, 34830 Jacou"
60,60,ULIS,,ENFANT,,,CLIS ECOLE H. DE BORNIER,"75, RUE OBSERVANCE 34400 LUNEL",,,,04 67 87 83 89,,4.135032,43.67329,"75 Rue de l'Observance, 34400 Lunel"
61,61,ULIS,,ENFANT,,,MATERNELLE DESBORDES VALMORE,460 RUE DES LAVANDINS 34070 MONTPELLIER,,,,04 67 42 63 15,,3.855161,43.599681,"460 Rue du Lavandin, 34070 Montpellier"
62,62,ULIS,,ENFANT,,,ULIS ECOLE  DE MONTARNAUD,AVENUE FONT MOSSON 34570 MONTARNAUD,,,,04 67 55 56 99,,3.696857,43.651049,"Avenue Font Mosson, 34570 Montarnaud"
63,63,ULIS,,ENFANT,,,ULIS ECOLE ALPHONSE DAUDET," BOULEVARD GAMBETTA 34800 CLERMONT LHERAULT""",,,,04 67 96 02 69,,3.433256,43.625503,"Boulevard Gambetta, 34800 Clermont-l'Hérault"
64,64,ULIS,,ENFANT,,,ULIS ECOLE ANATOLE FRANCE,AVENUE ANATOLE FRANCE 34110 FRONTIGNAN,,,,04 67 46 51 11,,3.754946,43.447904,"Rue Anatole France, 34110 Frontignan"
65,65,ULIS,,ENFANT,,,ULIS ECOLE ANTOINE BALARD,"123, RUE DE SALAMANQUE 34080 MONTPELLIER",,,,04 67 75 43 01,,3.818578,43.623931,"123 Rue de Salamanque, 34080 Montpellier"
66,66,ULIS,,ENFANT,,,ULIS ECOLE ANTOINE DE SAINT EXUPÉRY,"16, RUE MICHELET 34370 CAZOULS LES BEZIERS",,,,04 67 93 60 63,,3.102613,43.389478,"16 Rue Michelet, 34370 Cazouls-lès-Béziers"
67,67,ULIS,,ENFANT,,,ULIS ECOLE ARAGO,21 RUE MONTMORENCY 34200 SETE,,,,04 67 74 35 24,,3.692855,43.406462,"21 Rue Montmorency, 34200 Sète"
68,68,ULIS,,ENFANT,,,ULIS ECOLE ARC EN CIEL,"260, ROUTE USCLAS 34230 PAULHAN",,,,04 67 25 05 00,,3.462993,43.536937,"260 Route d'Usclas, 34230 Paulhan"
69,69,ULIS,,ENFANT,,,ULIS ECOLE CAPITAINE BONNET,"2, AVENUE DE LA MAIRIE 34480 MAGALAS",,,,04 67 36 38 33,,3.223262,43.471644,"2 Avenue de la Mairie, 34480 Magalas"
70,70,ULIS,,ENFANT,,,ULIS ECOLE CESAR VINAS,RUE GEORGES FABRE 34700 LODEVE,,,,04 67 88 86 03,,3.319754,43.730372,"Rue Georges Fabre, 34700 Lodève"
71,71,ULIS,,ENFANT,,,ULIS ECOLE CHARLES BAUDELAIRE,"311, AVENUE SAINT-CLEMENT 34070 MONTPELLIER",,,,04 67 63 08 53,,3.846239,43.61679,"311 Avenue Saint Clément, 34070 Montpellier"
72,72,ULIS,,ENFANT,,,ULIS ECOLE CONDORCET,"2, PLACE DES ECOLES 34830 JACOU",,,,04 67 59 10 67,,3.911452,43.654449,"2 Place des Ecoles, 34830 Jacou"
73,73,ULIS,,ENFANT,,,ULIS ECOLE EDOUARD HERRIOT,RUE FRANCOIS FEYNES 34500 BEZIERS,,,,04 67 62 47 47,,3.225682,43.336776,"Rue Francois Feynes, 34500 Béziers"
74,74,ULIS,,ENFANT,,,ULIS ECOLE FRANCOIS MITTERRAND,"1330, RUE HENRI LAGATU 34080 MONTPELLIER",,,,04 99 74 72 80,,3.83136,43.63006,"1330 Rue Henri Lagatu, 34080 Montpellier"
75,75,ULIS,,ENFANT,,,ULIS ECOLE FRANCOIS MITTERRAND,AVENUE DE NISSAN 34310 CAPESTANG,,,,04 67 93 32 79,,3.048448,43.327419,"Avenue de Nissan, 34310 Capestang"
76,76,ULIS,,ENFANT,,,ULIS ECOLE FRESCATIS,34220 SAINT PONS DE THOMIERES,,,,04 67 97 05 67,,2.759143,43.483626,"Saint-Pons-de-Thomières, 34220 Saint-Pons-de-Thomières"
77,77,ULIS,,ENFANT,,,ULIS ECOLE GALILÉE,RUE JAUFFRE RUDEL 34080 MONTPELLIER,,,,04 67 75 34 59,,3.821311,43.637687,"Rue Jaufre Rudel, 34080 Montpellier"
78,78,ULIS,,ENFANT,,,ULIS ECOLE GARIBALDI,"2, PLACE DE FONTJUN 34070 MONTPELLIER",,,,04 67 42 77 13,,3.868946,43.592575,"2 Place de Fontjun, 34070 Montpellier"
79,79,ULIS,,ENFANT,,,ULIS ECOLE GEORGES BASTIDE,"2, RUE LEON BLUM 34660 COURNONTERRAL",,,,04 67 85 60 56,,3.721477,43.555759,"2 Rue Léon Blum, 34660 Cournonterral"
80,80,ULIS,,ENFANT,,,ULIS ECOLE GEORGES CLEMENCEAU,RUE DES BORIES 34140 MEZE,,,,04 67 43 81 01,,3.605961,43.428219,"Rue Bories, 34140 Mèze"
81,81,ULIS,,ENFANT,,,ULIS ECOLE HAROUN TAZIEFF,"3, RUE DES ECOLES 34770 GIGEAN",,,,04 67 46 64 61,,3.712154,43.500587,"Rue des Ecoles Laiques, 34770 Gigean"
82,82,ULIS,,ENFANT,,,ULIS ECOLE HENRI DE BORNIER," 75, RUE DE LOBSERVANCE 34400 LUNEL""",,,,04 67 87 83 89,,4.135032,43.67329,"75 Rue de l'Observance, 34400 Lunel"
83,83,ULIS,,ENFANT,,,ULIS ECOLE JACQUES BREL,"5, IMPASSE DES MARMOUSETS 34000 MONTPELLIER",,,,04 67 64 08 74,,3.881864,43.598011,"5 Impasse des Marmousets, 34000 Montpellier"
84,84,ULIS,,ENFANT,,,ULIS ECOLE JACQUES PREVERT,CHEMIN FAISSINE 34120 PEZENAS,,,,04 67 98 38 76,,3.422058,43.457921,"Chemin de la Faissine, 34120 Pézenas"
85,85,ULIS,,ENFANT,,,ULIS ECOLE JEAN GUY,AVENUE PAUL VIDAL 34490 MURVIEL LES BEZIERS,,,,04 67 37 80 64,,3.146838,43.441524,"Avenue Paul Vidal, 34490 Murviel-lès-Béziers"
86,86,ULIS,,ENFANT,,,ULIS ECOLE JEAN JAURES,RUE HORT DE MONSEIGNEUR 34500 BEZIERS,,,,04 67 30 10 68,,3.23369,43.35079,"Rue de l'Hort de Monseigneur, 34500 Béziers"
87,87,ULIS,,ENFANT,,,ULIS ECOLE JEAN MACE," RUE DU 81EME REGIMENT DINFANTERIE 34200 SETE""",,,,04 67 51 10 50,,3.684539,43.408722,"Rue du 81e Regiment d'Infanterie, 34200 Sète"
88,88,ULIS,,ENFANT,,,ULIS ECOLE JEAN MACE,"289, RUE SAINT HILAIRE 34000 MONTPELLIER",,,,04 67 64 40 60,,3.868124,43.611058,"Rue Hilaire Ricard, 34000 Montpellier"
89,89,ULIS,,ENFANT,,,ULIS ECOLE JEAN MERMOZ,"196, RUE DE LA CROIX DU SUD 34000 MONTPELLIER",,,,04 67 65 04 66,,3.891719,43.614293,"196 Rue de la Croix du Sud, 34000 Montpellier"
90,90,ULIS,,ENFANT,,,ULIS ECOLE JULES FERRY,"184, AVENUE EDMOND ROSTAND 34590 MARSILLARGUES",,,,04 67 83 55 77,,4.173491,43.66792,"184 Avenue Edmond Rostand, 34590 Marsillargues"
91,91,ULIS,,ENFANT,,,ULIS ECOLE JULES FERRY," PLACE DE LEUROPE 34820 TEYRAN""",,,,04 67 70 34 27,,3.927314,43.682618,"Place de l'Europe, 34820 Teyran"
92,92,ULIS,,ENFANT,,,ULIS ECOLE JULES FERRY,RUE EDOUARD HERRIOT 34290 SERVIAN,,,,04 67 39 11 42,,3.300801,43.428531,"Rue Edouard Herriot, 34290 Servian"
93,93,ULIS,,ENFANT,,,ULIS ECOLE JULES FERRY,"15, RUE DE LA REPUBLIQUE 34300 AGDE",,,,04 67 94 23 18,,3.468798,43.311098,"15 Rue de la Republique, 34300 Agde"
94,94,ULIS,,ENFANT,,,ULIS ECOLE JULES SIMON,"45, RUE DE LA MEDITERRANEE 34000 MONTPELLIER",,,,04 67 65 60 54,,3.885781,43.604919,"45 Rue de la Méditerranée, 34070 Montpellier"
95,95,ULIS,,ENFANT,,,ULIS ECOLE KUROSAWA,"400, RUE PIERRE CARDENAL 34080 MONTPELLIER",,,,04 67 75 28 34,,3.81948,43.64046,"400 Rue Pierre Cardenal, 34080 Montpellier"
96,96,ULIS,,ENFANT,,,ULIS ECOLE LA CHEVALIERE,RUE FERREOL MAZAS 34500 BEZIERS,,,,04 67 76 27 74,,3.228713,43.340468,"Rue Jacques Ferreol Mazas, 34500 Béziers"
97,97,ULIS,,ENFANT,,,ULIS ECOLE LA MARIANNE,RUE DES ECOLES REPUBLICAINES 34190 GANGES,,,,04 67 73 80 44,,3.706147,43.936298,"Rue des Ecoles Republicaines, 34190 Ganges"
98,98,ULIS,,ENFANT,,,ULIS ECOLE LA RENAISSANCE,"3, RUE DU 4 SEPTEMBRE 34200 SETE",,,,04 67 74 42 10,,3.693174,43.408609,"3 Rue du 4 Septembre, 34200 Sète"
99,99,ULIS,,ENFANT,,,ULIS ECOLE LANGEVIN-WALLON,RUE DU VIGNAL 34600 BEDARIEUX,,,,04 67 95 07 48,,3.157146,43.61675,"Rue du Vignal, 34600 Bédarieux"
100,100,ULIS,,ENFANT,,,ULIS ECOLE LE GRAND TAMARIS,AVENUE DE FREJORGUES 34970 LATTES,,,,04 67 65 21 61,,3.911483,43.569524,"Avenue de Frejorgues, 34970 Lattes"
101,101,ULIS,,ENFANT,,,ULIS ECOLE LEO MALET,"5, ALLEE PIERRE CARABASSE 34080 MONTPELLIER",,,,04 67 75 46 45,,3.830926,43.612686,"5 Allée Pierre Carabasse, 34080 Montpellier"
102,102,ULIS,,ENFANT,,,ULIS ECOLE LEOPOLD SEDAR SENGHOR,"26, AVENUE DE BOLOGNE 34080 MONTPELLIER",,,,04 67 75 34 79,,3.813887,43.636595,"Avenue de Naples, 34080 Montpellier"
103,103,ULIS,,ENFANT,,,ULIS ECOLE LES AMANDIERS,BOULEVARD BIR HAKEIM 34500 BEZIERS,,,,04 67 62 48 72,,3.259907,43.33676,"Boulevard de Bir-hakeim, 34500 Béziers"
104,104,ULIS,,ENFANT,,,ULIS ECOLE LES ARBOUSIERS,"1, AVENUE LES ARBOUSIERS 34500 BEZIERS",,,,04 67 76 22 18,,3.244283,43.336174,"1 Avenue des Arbousiers, 34500 Béziers"
105,105,ULIS,,ENFANT,,,ULIS ECOLE LES LAVANDINS,AVENUE DU STADE 34110 FRONTIGNAN LA PEYRADE,,,,04 67 46 51 61,,3.727468,43.427147,"Avenue du Stade, 34110 Frontignan"
106,106,ULIS,,ENFANT,,,ULIS ECOLE LES ROMARINS,RUE DE SETIF LA DEVEZE 34500 BEZIERS,,,,04 67 76 52 38,,3.249046,43.333014,"Rue de la Devèze, 34500 Béziers"
107,107,ULIS,,ENFANT,,,ULIS ECOLE LOUIS MALBOSC,"181, RUE MICHELE OSTERMEYER 34500 BEZIERS",,,,04 99 43 80 10,,3.225246,43.363079,"181 Rue Micheline Ostermeyer, 34500 Béziers"
108,108,ULIS,,ENFANT,,,ULIS ECOLE LOUISVILLE,"431, AVENUE LOUISVILLE 34080 MONTPELLIER",,,,04 67 75 36 01,,3.815525,43.625098,"431 Avenue de Louisville, 34080 Montpellier"
109,109,ULIS,,ENFANT,,,ULIS ECOLE LUCIE AUBRAC,RUE DU PEYROU 34570 PIGNAN,,,,04 67 47 83 34,,3.759747,43.582501,"Rue du Peyrou, 34570 Pignan"
110,110,ULIS,,ENFANT,,,ULIS ECOLE MARC BLOCH,"135, ALLEE DES HAUTS DE MONTPELLIER 34080 MONTPELLIER",,,,04 67 75 13 87,,3.811847,43.639752,"135 Allée des Hauts de Montpellier, 34080 Montpellier"
